main_id,sample_year,population_untransformed
20579,1928,6233
20579,1929,5104
20579,1930,5159
20579,1931,5736
20579,1932,5428
20579,1933,6653
20579,1934,6622
20579,1935,6148
20579,1936,6677
20579,1937,6046
20579,1938,6346
20579,1939,6552
20579,1940,5636
20579,1941,5612
20579,1942,4981
20579,1943,5605
20579,1944,6190
20579,1945,5921
20579,1946,5558
20579,1947,4192
20579,1948,4421
20579,1949,5551
20579,1950,6191
20579,1951,6879
20579,1952,7258
20579,1953,7171
20579,1954,7353
20579,1955,6927
20579,1956,6730
20579,1957,7244
20579,1958,7015
20579,1959,7560
20579,1960,7015
20579,1961,7166
20579,1962,5815
20579,1963,3949
20579,1964,4243
20579,1965,4678
20579,1966,5034
20579,1967,5595
20579,1968,6069
20579,1969,6449
20579,1970,6741
20579,1971,7255
20579,1972,7326
20579,1973,7872
20579,1974,7998
20579,1975,8006
20579,1976,7580
20579,1977,7675
20579,1978,7565
20579,1979,7289
20579,1980,7763
20579,1981,7850
20579,1982,7388
20579,1983,7321
20579,1984,7503
20579,1985,7401
20579,1986,6714
20579,1987,6746
20579,1988,7054
20579,1989,7876
20579,1990,8145
20579,1991,7979
20579,1992,8121
20579,1993,8501
20579,1994,8430
20579,1995,8809
20579,1996,8557
20579,1997,8731
20579,1998,8826
